parent_asin,train_count,scenario
B006T9ZKAQ,468,popular
B005EK5SNA,15,warm
B0B12QLV2D,14,warm
B019SQM16C,41,popular
B0BFF9ZNN9,1,cold
B08T1X8Z4G,3,cold
B07PFVW7M2,7,warm
B06ZZD3LF4,422,popular
B08C75TRZD,28,popular
B01N2NJSGV,64,popular
B0787HCKR2,763,popular
B07RP284FW,8,warm
B01FFCWCPI,46,popular
B09FNXHYCX,3,cold
B017DJYVY6,11,warm
B09XHQ8Y1B,8,warm
B09CD97CVT,32,popular
B08TBJFTTF,6,warm
B07PCW5R2J,8,warm
B00M8T5RSG,3,cold
B01D3L5S9U,6,warm
B07J3D56VG,4,cold
B08CXLMNYV,5,warm
B08J6LNS3C,4,cold
B009TPRG9A,150,popular
B09BFJYQT8,41,popular
B00CLRPDCK,6,warm
B0B8XZXCJ1,3,cold
B07287HM3J,15,warm
B017B6H8NW,13,warm
B0C33WJBDP,5,warm
B07VWNV5S6,16,warm
B07H2B57JG,5,warm
B0041RSDXE,186,popular
B004FPOPXE,23,popular
B088GV6R5T,6,warm
B09XSBZQVS,212,popular
B08BX4LTSF,30,popular
B00GIURNW4,5,warm
B0C1GDZX16,23,popular
B00IIX2W7U,128,popular
B01EO2PYBO,11,warm
B08TBPF9HV,30,popular
B0B9GNDV6L,48,popular
B081JGZ554,52,popular
B001GVIUMW,58,popular
B000AL72Q4,8,warm
B07HMN35GW,70,popular
B007T4L23E,61,popular
B09QPQZMMN,7,warm
B084T9CP9D,3,cold
B0BG6MW4YL,70,popular
B096M9B19G,13,warm
B00HWL4MX6,27,popular
B0B5843JLZ,18,warm
B09ZX4GFQC,15,warm
B086MHFNDR,11,warm
B08L6384M4,2,cold
B07C659R8F,60,popular
B08Z7SYTNQ,47,popular
B073J9ZZY6,15,warm
B08P1MLYTG,5,warm
B08B3BFHS7,6,warm
B07VV39RDJ,10,warm
B09NPWK3BR,35,popular
B09H42MXBX,12,warm
B09QX4DSB9,2,cold
B076J7W8XL,111,popular
B08QVQZSWZ,2,cold
B09W4P1BW9,2,cold
B00MJSO5TS,61,popular
B001LQ3B4O,16,warm
B09KRSM492,34,popular
B08BZSCHZ3,172,popular
B01CSYN908,3,cold
B09S81G3BL,30,popular
B0BYSPL9JF,203,popular
B091T6ZB9V,22,popular
B07Q2BV8LN,220,popular
B09YGSC1RZ,2,cold
B00DW3A78M,22,popular
B00T48CWAK,30,popular
B09RWNL2SW,54,popular
B0B3J24D3T,8,warm
B08HJP98S1,6,warm
B01E9TH21C,87,popular
B0BWL7RN2M,23,popular
B09HXSJKDV,19,warm
B012EP76GE,12,warm
B07CW27WSW,6,warm
B0BVZGPLXF,76,popular
B09158LXC4,5,warm
B005NAWT38,5,warm
B095HR18K8,49,popular
B01CYAR41G,163,popular
B01M3R88OT,24,popular
B07P619NXM,37,popular
B004JM1ZG8,54,popular
B0BVCMW9DS,281,popular
B00YU0NJBI,28,popular
B07SB9RSRF,122,popular
B079P5BFT6,42,popular
B07227W677,12,warm
B09P1SJLLK,73,popular
B087PLB6Q7,3,cold
B0BDNF2PLL,182,popular
B001FA0FVI,186,popular
B07GGG5JWS,45,popular
B00A36QZ1Y,384,popular
B07QMLRDP9,24,popular
B07NPGCFVY,145,popular
B06XTJC7WH,7,warm
B076J6SZF6,7,warm
B08XBJVKG9,35,popular
B003VANO7C,2522,popular
B07TJB431V,10,warm
B0BJ5NGC7R,11,warm
B0BQPSNDNM,276,popular
B00I16VQOY,106,popular
B09DYF8C1Z,4,cold
B00DIGAK62,67,popular
B0BXM1Q62R,22,popular
B07XQ2TKG1,4,cold
B07HJ49VN8,10,warm
B0BY1S4LTT,13,warm
B08GHX9G4M,3,cold
B06Y1LF8T5,81,popular
B0BG4JCFD4,21,popular
B07Q3WP133,9,warm
B00BJ42EN2,45,popular
B07X9K1N2N,81,popular
B08SBZ8LV8,23,popular
B092J8MM28,25,popular
B07FQRTX3M,4,cold
B0CBLRKMXF,28,popular
B07B3VVTKJ,54,popular
B079JQR8XT,4,cold
B0BR8WSMV8,16,warm
B09Z6M8BJM,1,cold
B01MRH05S2,23,popular
B09NKK919C,11,warm
B00JAW8GBO,86,popular
B0BKPX3YSH,194,popular
B00MA7DBYI,34,popular
B094N1R5MQ,15,warm
B004Y6MIXS,146,popular
B009DHE462,46,popular
B07HY92MV6,57,popular
B07FGX8LBF,134,popular
B01N6KIFC3,11,warm
B08CKZ36N7,2879,popular
B08T5YGPCN,3,cold
B011ITKLFU,71,popular
B0762PP97W,24,popular
B0BLV1F2WR,35,popular
B072HBS9TH,43,popular
B0922JLZWR,9,warm
B0BTDWQMNL,266,popular
B09V226G5P,5,warm
B00A98R0QU,49,popular
B09F6DQ4WV,8,warm
B0C6PFLWFN,104,popular
B06XTMC9Y5,35,popular
B0C4H67LFS,18,warm
B083Y8VZSY,22,popular
B093KFCYL2,13,warm
B007B5Q164,66,popular
B07JQ4421N,9,warm
B0B3HYZ427,21,popular
B00GGBB67I,36,popular
B003CX5MGO,69,popular
B07VDPY2RL,248,popular
B0C7FQSVNL,81,popular
B0BRR2R8HH,5,warm
B0BZZY2Z83,4,cold
B07PWHT7N7,42,popular
B083F9CBMF,255,popular
B07P97W7GJ,28,popular
B07NYRDGPM,4,cold
B002CIDIPW,187,popular
B07H4Y2RPC,10,warm
B01LEC2WLW,74,popular
B00SB53UAS,4,cold
B01NGZULJ5,4,cold
B01L8PDMMS,4,cold
B00BGGIZ2W,351,popular
B000UTO27S,37,popular
B01KZHP44Y,118,popular
B00RN8ZZDO,8,warm
B002PXLQSK,242,popular
B01NBTC7KN,10,warm
B005NJCFRE,129,popular
B010F7GJRA,35,popular
B08ZCNX7LX,21,popular
B0C2HKXL7D,18,warm
B00D1W5MM0,104,popular
1449410243,422,popular
B082G2F9B7,17,warm
B01ALLP5Y8,7,warm
B0083J97ZY,13,warm
B07VZNF51V,5,warm
B07BX4X77P,3659,popular
B07PQ43CVZ,23,popular
B08P7JNJMP,5,warm
B0C556BW5M,1230,popular
B0044FJGFM,69,popular
B07TDD2PXL,17,warm
B07Y58KN33,173,popular
B0973DQVLJ,32,popular
B0B8NLYZP8,6,warm
B004VM1T5S,940,popular
B072XJTDSP,20,warm
B001CMB66W,17,warm
B08NFYDS26,13,warm
B078GJ469J,10,warm
B0BP1YTZ49,7,warm
B09Z2598S2,3,cold
B0BBYTWMTR,2,cold
B00NIGPVUW,4,cold
B0B5KVF7YL,15,warm
B08P4VCY18,39,popular
B09P8F3ZHB,104,popular
B01M4LXSBC,24,popular
B01N7WTAF3,7,warm
B0BYGZW4NF,19,warm
B0BZNPRKXG,14,warm
B0B8HB326T,38,popular
B00LZSA736,340,popular
B07KQSWLCT,4,cold
B07D2BG6R5,211,popular
B0BT4RYFPC,50,popular
B07W7NDHMM,55,popular
B00H0CV9TM,409,popular
B07X66DPD3,239,popular
B014RCSHK6,55,popular
B08GQ9H4L6,185,popular
B082KK44RQ,35,popular
B0BJGKZKV9,1084,popular
B00S05R5QY,66,popular
B0876T6VVS,101,popular
B01611VL68,377,popular
B09JYPNFFF,2,cold
B0BN1FKSPP,20,warm
B0C6M3DVML,19,warm
B013ALA9LA,455,popular
B07L2JDH2W,28,popular
B00IJZWWWM,21,popular
B0BX2X1G72,15,warm
B09QC5VFBT,13,warm
B0829F278W,38,popular
B0B73H3DD4,9,warm
B07VK5T3P1,3,cold
B0BX42FXR1,12,warm
B098NM51K2,2,cold
B00WUIIX72,665,popular
B0BTWXN7DX,37,popular
B00NI4O1ZK,132,popular
B081CCRNQZ,13,warm
B00F8AFLG0,38,popular
B07W782Y8B,13,warm
B0058J5OXQ,48,popular
B00W98RIX8,9,warm
B08Z7916DY,232,popular
B07MS6299X,21,popular
B09FHMS6TG,54,popular
B08GCCVKHD,15,warm
B08DJ4JSD7,19,warm
B00G3MP39M,91,popular
B07V42PDX8,406,popular
B0C11HBVZ7,73,popular
B0037Z7B9I,201,popular
B00D97M0YU,33,popular
B0C132XYKK,34,popular
B01GBX8HIG,44,popular
B08L65CMKK,3,cold
B0988TCFGW,8,warm
B081CBRLKH,9,warm
B07CLFXVKX,9,warm
B01MRA4FFR,141,popular
B008I64OVO,14,warm
B071NH6YL2,8,warm
B019DMHCUG,36,popular
B07DMT42MN,20,warm
B004PEIYMS,771,popular
B01I3QK7XW,4,cold
B0CB1SBWP8,21,popular
B002I007HG,8,warm
B00JMM89NC,35,popular
B007JNWD38,57,popular
B07FWFSP3Z,35,popular
B0992CF7XJ,0,new
B0B7GCHJW3,60,popular
B08H5G6D2R,16,warm
B0BJD876L8,37,popular
B07GCNBDB3,12,warm
B004KZQVF4,75,popular
B00004YV5X,5,warm
B0C725TXK3,30,popular
B00YWLXR80,102,popular
B01HETFQMQ,190,popular
B00KYN1I54,6,warm
B0BWM3HY39,1,cold
B08FYBLNFN,10,warm
B09GJVWDYP,2,cold
B0BGSBFFG2,16,warm
B09V5GVZXQ,47,popular
B01133ZTQM,335,popular
B08NPY6CBN,2,cold
B0BPLLYLHF,38,popular
B08L7CC9MY,5,warm
B08PFJP1QC,25,popular
B073VHLRNQ,30,popular
B073R4LKW9,6,warm
B09YL8QZ4W,169,popular
B08WJN6H35,3,cold
B0B3MCXHYK,19,warm
B0051V5WPG,17,warm
B0BG2RS2D3,13,warm
B0C49F961T,51,popular
B09CYHSBWX,36,popular
B009AJFUOI,91,popular
B016PMVM7Q,1188,popular
B0C82BNBH9,102,popular
B08DY63LV6,16,warm
B0CCNSMG1F,11,warm
B092LV1GT5,6,warm
B0BXHGW5DJ,46,popular
B0BFC1FWS9,29,popular
B0BHPCDZK3,17,warm
B0097GCQ9G,100,popular
B09MYK3818,17,warm
B0B4PFQJ2K,14,warm
B01NH5M1ER,122,popular
B07NNVLNTW,11,warm
B0058DHO1W,40,popular
B0788GGX89,18,warm
B000MT7RVY,5,warm
B099PJ3B66,5,warm
B08698CM5W,288,popular
B07C54DVHR,255,popular
B08J3VCBM5,15,warm
B007WT9SU0,172,popular
B004VM0SE6,469,popular
B094YH2CNV,30,popular
B09LBBSY7Z,20,warm
B0002W3A6C,40,popular
B08H1NZLY7,8,warm
B0043PIZYG,115,popular
B07QGBWH6C,4,cold
B09JG5WT26,18,warm
B0B7123JGT,75,popular
B07NP2NF9J,62,popular
B07VCH7ZXY,6,warm
B09NN191L5,7,warm
B00OTWPEBK,231,popular
B08SM3TY31,11,warm
B01L71OEC0,23,popular
B06W563RXF,27,popular
B0BGHSBKPJ,211,popular
B0B7DR1H2Y,214,popular
B083YQLGT8,91,popular
B08L3VTNQZ,3,cold
B085SNZQTJ,26,popular
B08CZSXQXT,6,warm
B00RORBPEW,58,popular
B0BJ24DNTT,38,popular
B0BVD23YH5,10,warm
B00JDVF2QY,12,warm
B0B38C64DP,3,cold
B00KHKIAXW,16,warm
B01NBOXVVE,4,cold
B00011CS0S,65,popular
B07H2BKBR5,40,popular
B09WDMCQ9J,10,warm
B00INMB23Q,271,popular
B0BKG7N9C7,27,popular
B0BFTM6SJM,9,warm
B00C5CN0CG,34,popular
B005972X3Q,378,popular
B07PRWDQLT,23,popular
B01M10643K,38,popular
B088H1YKTV,1,cold
B0C6FT736F,26,popular
B09XFRWWBH,6,warm
B004OL06IW,30,popular
B07GLC9N87,23,popular
B07PV2KF68,40,popular
B0BBC3CLV7,8,warm
B0B3JRFRLV,34,popular
B0BRKW5GPJ,55,popular
B004M8GR8A,5,warm
B00786XNS0,43,popular
B09G2QK5DC,3,cold
B072N44N3L,23,popular
B08F38BHK1,7,warm
B0BJQ1X84Q,17,warm
B0B9N82MXH,17,warm
B07PYSJ7Y1,16,warm
B083NQC9B9,5,warm
B07CZV2S1P,26,popular
B07VZZFWRM,850,popular
B0BK3HL3G3,125,popular
B07XXNBDYD,3,cold
B07RJ63JX3,8,warm
B0894TGNDW,34,popular
B01H0MDLRO,59,popular
B0BNTB5VVQ,8,warm
B085TPS4MJ,115,popular
B07PCGTKRQ,58,popular
B01N0DP7OC,12,warm
B00XIYAH2Q,31,popular
B07C9S4VYW,179,popular
B09B211V1Q,12,warm
B07QR8VSW3,36,popular
B07W8MDGXG,5,warm
B07X7MY854,62,popular
B00MFYVGCK,5,warm
B0BS8YHSVT,96,popular
B0C8B2HR3G,4,cold
B08CDQYVXC,33,popular
B0BLP8MX9H,16,warm
B004MFDKZQ,17,warm
B08MQCWGMH,5,warm
B00V9JJ5VQ,22,popular
B0BMNSYDFK,13,warm
B07PSQ693G,13,warm
B07BRR71L3,35,popular
B07MVGHLL4,258,popular
B06ZYBBFW3,2,cold
B01MDTUVZT,57,popular
B08HT8P1Q4,199,popular
B00LVGIH7U,146,popular
B00I053ICY,221,popular
B00CVD9M3A,247,popular
B07B2WLS17,139,popular
B08JDT2VXK,41,popular
B093GFJXN5,116,popular
B07HG3W6GX,50,popular
B005S0KE7G,104,popular
B0BVQQY5KD,210,popular
B07X1CGFPK,26,popular
B08LKVSCWX,2,cold
B0B9NB6XKX,3,cold
B00SHZRIA0,96,popular
B07J1GW4RB,29,popular
B0C499CTF5,23,popular
B089GQTR3Y,76,popular
B071VCJJ2S,12,warm
B00IO3HN82,31,popular
B00NZFV8EO,4,cold
B07Q3C9HJR,7,warm
B004QF0VE0,12,warm
B07J3NWH3B,15,warm
B0015F0A8G,81,popular
B09LJ92JQM,450,popular
B08M3ZM7JL,2,cold
B01IUCNE4I,58,popular
B081N8NYZQ,12,warm
B09CT8WXCC,10,warm
B00CIOA89E,295,popular
B07KVKY97T,11,warm
B0B6FZY4N9,1,cold
B098347DP6,26,popular
B08JL1956W,129,popular
B01A7Q4LFG,3,cold
B0969B2F2Z,3,cold
B00ZYLMQH0,273,popular
B07ZKM6BSG,2,cold
B07SRVYKDF,120,popular
B08BYQVXWR,28,popular
B09HGV2F4R,9,warm
B09MY66RJB,27,popular
B01A16AQCE,176,popular
B07BVMSMRN,17,warm
B09CD88MF7,5,warm
B07XLW1DYZ,60,popular
B07HJB2KSR,128,popular
B09RGCD26Z,2,cold
B0C8G48R4B,7,warm
B08XVZ3Y1C,46,popular
B07VWPL635,15,warm
B08MTMY94S,37,popular
B0C6F2WZG9,17,warm
B07D5FNPVM,12,warm
B00HXT8FFI,91,popular
B083R5P8NY,43,popular
B0055DGM8Q,42,popular
B08L6FBWX3,3,cold
B0014ZADVQ,69,popular
B01IP2WXAE,5,warm
B0973STTP8,204,popular
B019CTMHZ0,6,warm
B094ZNRZMD,89,popular
B00D52HTMC,15,warm
B08KY7VR9C,25,popular
B01BH1LMPW,477,popular
B01KZCPPVG,69,popular
B08F7VCKKD,16,warm
B09FT43KNQ,88,popular
B092SLPBLJ,3,cold
B0BFQJWWYW,2,cold
B08GCHT5RC,11,warm
B01N8VR7WD,434,popular
B0BKLCS6TK,47,popular
B0BVV3SP3M,0,new
B074475CFR,12,warm
B08B5YRQ6M,16,warm
B0B5FJCDGT,86,popular
B078XZTD7M,8,warm
B08SJ82QBS,5,warm
B06X3SGR9Q,941,popular
B07WLZW5J4,104,popular
B09N42GVF7,2648,popular
B0BVRWL6ZZ,60,popular
B0784RJ4G9,12,warm
B005N8W27I,103,popular
B07JBCKX7M,67,popular
B086WTZYH7,40,popular
B0C5Q8RHJD,13,warm
B0C1ZWLPHZ,15,warm
B07WCH5JTT,44,popular
B07H3V1YQ6,72,popular
B0919WR2XD,5,warm
B076SYKRBP,11,warm
B01JLU6E2M,18,warm
B09YCGNHPD,10,warm
B083Y4N7FZ,3,cold
B00I0V6NLG,144,popular
B09JB929Y2,97,popular
B0C3B5LJQC,6,warm
B07S382MHB,17,warm
B00N2QY6N6,59,popular
B07W9CM765,21,popular
B089MMDGZ5,5,warm
B01B1QKLPA,10,warm
B01F2B3FKI,65,popular
B00DY2Y28M,391,popular
B01HGY8A4K,219,popular
B00ISVKHBK,322,popular
B0BPB1VLM5,90,popular
B00B3PX54O,6,warm
B09L64SWLM,3,cold
B00ZA0I4JE,3,cold
B018A6O8UI,21,popular
B09HC2BNW7,20,warm
B083LLM6QJ,552,popular
B09JC41G3S,38,popular
B0BGBYHL6Z,3,cold
B082W1XC1Z,10,warm
B0842YJ1Z6,262,popular
B008B5B9EC,17,warm
B08H9PTT1F,10,warm
B001H4B0AC,538,popular
B01B1AKO4Y,11,warm
B087WSHNF9,12,warm
B09PQQ4LZB,106,popular
B0B2255YX9,3,cold
B0BL5VD1CY,182,popular
B07CGGFG5P,25,popular
B00I482KZI,232,popular
B01D5H8N8K,252,popular
B0B3D1GWYX,26,popular
B0C8NMRMHD,17,warm
B0002J24OO,14,warm
B0C4KLTV8W,69,popular
B01NBPKF3M,35,popular
B0BYHQSD4Y,4,cold
B001UJ2HVK,24,popular
B0CB98GHDT,25,popular
B09MP9CVMR,5,warm
B077D4GZ2K,2,cold
B086WNLZSH,123,popular
B07XPLFMDH,31,popular
B07F8Q4NHY,42,popular
B0B6SQLT6D,34,popular
B081GT34KG,123,popular
B00XEW3YD6,510,popular
B00O4RRHP6,669,popular
B08GX1GK43,7,warm
B09W927GSR,361,popular
B015W2KT3I,4,cold
B08VRGRZ54,4,cold
B08BZM3CGZ,6,warm
B06ZYV4XQ2,137,popular
B0185MBYJ0,1,cold
B01MQIEUG8,384,popular
B01B448PBG,351,popular
B00SY37S00,40,popular
B07CRZCWWS,109,popular
B07NYW13SK,9,warm
B01MZEMQLU,340,popular
B003PEUA30,305,popular
B07H1G5BXZ,5,warm
B002QS1ND2,12,warm
B09G658495,12,warm
B00CVQP7CW,176,popular
B013JGHQCG,184,popular
B09WMRSGP6,2,cold
B09G91BLMW,6,warm
B08CS391BR,1901,popular
B089VKG4G1,134,popular
B01M0S6MSK,50,popular
B08LPTVT7Z,10,warm
B07ZRX1977,26,popular
B07X8QHKFV,115,popular
B0856QFZGB,13,warm
B0BW27V7Y4,70,popular
B081S43284,9,warm
B004HN3M7Y,17,warm
B07RKQXV61,4,cold
B01M0F26RN,129,popular
B07MDBRZVN,41,popular
B085SN7HF5,376,popular
B00Y2J211G,114,popular
B07ZK4YGZY,41,popular
B0BZPJNK9N,46,popular
B07WD42CT8,24,popular
B00NQ33O3I,7,warm
B075ZV2V9Y,5,warm
B07RGJYJS5,484,popular
B072JZHV2V,209,popular
B001U3Y8L8,23,popular
B0BLSKG86X,203,popular
B0B75HNZMN,12,warm
B0020Z8PBY,224,popular
B00I027GPC,304,popular
B076BMVYTM,147,popular
B0BWJRB5GW,62,popular
B08R5KW77N,6,warm
B0C5HHDRV2,3,cold
B0CBWXTXXS,26,popular
B01N1HYQOT,8,warm
B07JJFPKBD,53,popular
B083QY47CW,7,warm
B07VX2535L,11,warm
B00JDVRCI0,1278,popular
B081YSX5LG,38,popular
B00NNY1SNI,165,popular
B0743CK4SF,9,warm
B0BNLZ3MP8,3,cold
B08FM8XC4S,3,cold
B08HVT59F5,81,popular
B075R21XF1,332,popular
B07535WFS6,13,warm
B08KTLBNRW,6,warm
B07X337XMP,4,cold
B082P86DLR,28,popular
B00F9GKZJ6,13,warm
B078XQS7MH,18,warm
B07T66Y3BS,22,popular
B00W9MHS98,13,warm
B0069S2LPO,22,popular
B0CG2H43KB,171,popular
B09SKPNY5H,23,popular
B09LYD8XRX,133,popular
B00V9MDU1E,6,warm
B0982NPBY3,4,cold
B00S8PRVB0,16,warm
B09GW86W6Y,19,warm
B0BX92P6PS,8,warm
B0BVZDP9PJ,20,warm
B0BDFD84JL,12,warm
B0001Y6J14,73,popular
B07BK1Y57M,32,popular
B09C8HBNYH,2,cold
B00S45HPFQ,90,popular
B0CB11DLHG,63,popular
B0BWNNS2RJ,39,popular
B0BSGWJ6MX,3,cold
B072L835MR,33,popular
B005M0ICG2,159,popular
B0172H0GBG,7,warm
B0B1XND7PX,21,popular
B0BRFDG48G,62,popular
B073ZJDGS4,6,warm
B07CNCRYR5,192,popular
B089LVL13T,14,warm
B0BD8CSRZX,0,new
B08LSHDPKV,10,warm
B0B21H6BRZ,3,cold
B0BYD9SD5V,12,warm
B07H3B8GL5,13,warm
B095L4Y68H,22,popular
B08YMX7N9W,3,cold
B0C36RFC6D,732,popular
B0BF45JKG2,5,warm
B095S46KRS,1,cold
B082396TWH,9,warm
B00XISPF6U,22,popular
B08TT78WFB,8,warm
B00FNVE66K,19,warm
B096VWBXQ9,19,warm
B0B55PBGD6,36,popular
B0BHWGNP3S,50,popular
B07M97XGNZ,55,popular
B0733JS64T,7,warm
B0792KNTPY,5,warm
B09BQDVWJ5,8,warm
B01GBEVKZW,9,warm
B08CY29V9D,57,popular
B001V5J7ZW,22,popular
B001P4LBOO,12,warm
B07STYNQ62,16,warm
B08R7HBWCF,432,popular
B01GR95HTQ,1029,popular
B07WBYL3NL,205,popular
B07M8FTNKJ,3,cold
B07HKT4M5K,4,cold
B01L1IIF1A,64,popular
B06XYJQ9DB,8,warm
B0C2PKWSCK,20,warm
B08N129MNJ,46,popular
B0C6QMJ2CX,0,new
B072MKFNV6,442,popular
B00A36QXI4,480,popular
B07DQDG547,53,popular
B01HAVUBRS,6,warm
B07QM33Y51,26,popular
B00XK3QKBW,293,popular
B0C3LPBVSM,8,warm
B09TRVYXXG,10,warm
B07XJXMMJZ,15,warm
B07TTQR9HX,27,popular
B0BK1HRY3X,2,cold
B00OBRFFAS,1015,popular
B07XLTRJ72,26,popular
B072QZW7XT,7,warm
B07F6WLWSR,46,popular
B079BWKMPX,5,warm
B0856481P2,75,popular
B074KRM3H4,157,popular
B06XNRMLYT,26,popular
B01GY7426A,18,warm
B07DCLGDZR,148,popular
B08HH6G48J,54,popular
B075YRFLN7,51,popular
B01LW0LH7Y,4,cold
B08HL6J1KV,17,warm
B098BS3VJB,2,cold
B0946177ZR,2,cold
B07PQ7C6HT,45,popular
B00FKTMWDE,362,popular
B01M4R4JLW,10,warm
B07V45VX8V,2,cold
B076LV5242,29,popular
B009AXVM6E,369,popular
B07MMMNP1C,3,cold
B07GSBPKJR,67,popular
B0BPC7TGXM,7,warm
B081DBNS48,34,popular
B01MXXPVM5,19,warm
B0002GX1XA,336,popular
B09MMMGQMD,2,cold
B0BN2PCBHH,13,warm
B08PYLHM77,102,popular
B07FXCWB22,130,popular
B07GXDLJP9,3335,popular
B09CTPC1FV,2,cold
B07CR37R33,84,popular
B07K6V2699,9,warm
B07FXKQZFX,19,warm
B096DJ39B3,108,popular
B013UQN7JG,55,popular
B07S376KRB,5,warm
B099ZXDG4N,20,warm
B09W28757Q,10,warm
B01MAVVQ3G,28,popular
B01FGCXUDU,244,popular
B013XO2JM6,15,warm
B0BGC1GMZM,37,popular
B00N91QBIW,21,popular
B0B3X96SSW,2,cold
B083V2F7VJ,33,popular
B08P72Y8MN,1651,popular
B07TYC693M,9,warm
B004IJZNHO,60,popular
B07F26XXM5,22,popular
B07G73YP1V,143,popular
B0973W9VVG,126,popular
B00148RMR6,25,popular
B07L2P2WG5,5,warm
B01CWWAENG,176,popular
B01DDE4G9U,13,warm
B07YT68RKP,20,warm
B001TKRLPC,102,popular
B083W4RLCQ,13,warm
B0C4LSZS57,632,popular
B08QMDXPT2,15,warm
B017TAZJO0,8,warm
B00JYFT4PO,741,popular
B0BMPT9FF8,8,warm
B0755M5VCQ,60,popular
B07M7H9FT5,12,warm
B07WS8DTZP,33,popular
B0CB5YPSV8,254,popular
B08L6LDRTC,10,warm
B09P12NH4L,12,warm
B08N119BBQ,17,warm
B08YDDNFNF,11,warm
B07CLDVC4B,18,warm
B087D9VRGC,2626,popular
B00XJ7UBQY,130,popular
B00FXYIGBS,216,popular
B096KLDMCV,23,popular
B075L743J3,93,popular
B07W3CXJWT,5,warm
B07SVX61ZF,6,warm
B0C2VS9CH1,27,popular
B07QZVNG2T,1266,popular
B08Q5WNR76,17,warm
B0BYT9WSCR,57,popular
B09PR6VKFC,7,warm
B07PZHP2LL,69,popular
B09NQX8S2G,21,popular
B0C9MYWQHS,16,warm
B07HCDSQGY,13,warm
B0BBTRCVPW,5,warm
B0097BEEF0,80,popular
B0088YPRUI,55,popular
B00NOLG8IK,12,warm
B00ACXLU36,3,cold
B00DPREQK0,27,popular
B07DW2GPJX,100,popular
B074KC73KC,21,popular
B0C23419K6,13,warm
B09KZJ3LRM,3,cold
B01KIPAMK4,5,warm
B0768LTVCQ,121,popular
B0987DGJL3,127,popular
B09VPD7Q8R,2,cold
B01BX0EXX0,15,warm
B08DP6H1V4,23,popular
B0C447ZT7H,72,popular
B0BM4KRWXK,1,cold
B07WHVM35V,23,popular
B08R5RY2SS,80,popular
B01C3LE44G,66,popular
B08FMLGNQN,10,warm
B07TMJ8S5Z,3071,popular
B0BPS1Y99X,78,popular
B07BVDYMHP,324,popular
B093RXLDX3,8,warm
B075KPB1P2,14,warm
B01IS6YPKI,57,popular
B07GXJKP8T,13,warm
B08N1BY2JD,1,cold
B083QYFJXL,25,popular
B006B1UEW6,21,popular
B08GY8H9W1,21,popular
B0BNJ2SX1N,10,warm
B09VYTD3PB,31,popular
B0BSH18F6X,9,warm
B01IPXRQZA,21,popular
B07QL8QFG9,2,cold
B0BLVQ54BF,12,warm
B089KFG63T,61,popular
